emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I felt frustrated when my laptop broke down and the warranty had expired. I would feel frustrated when I had to buy a new laptop.	Black man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely so			disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely so			disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely so			disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely so			disgust	sadness
anger	I would feel anger when I had a serious argument with a dear person.	Black man	I feel ... when I stepped into dog shit	anger	anger
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Black man	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Black man	I felt ... when the weather got very cold and cloudy.	sadness	trust
anger	I would feel anger when I had a serious argument with a dear person.	Black man	I felt ... when I built an accident in my girlfriend's car	anger	anger
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Black man	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Black man	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
envy	I would feel envy when I felt a negative impact on my neighbor's life.	Black man	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... when my father fell seriously ill.	sadness	trust
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Black man	I felt ... when I had a bad cold.	sadness	sadness
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Black man	I felt ... when I had a bad cold.	sadness	trust
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Black man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Black man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I would feel frustration when I forgot an invoice years ago to pay.	Black man	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... when my father died after a long illness.	sadness	trust
frustration	I felt frustrated when I found out that I did not get the new job.	Black man	I felt ... when I found out that I did not get the new job.	frustration	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Black man	I felt ... when I noticed that my fly was open at work	disappointed	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Black man	I felt ... when I noticed that my fly was open at work	disappointed	disgust
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Black man	I felt ... when I noticed that my fly was open at work	disappointed	sadness
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	Black man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	anger
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	Black man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	disgust
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	Black man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	sadness
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very			disappointed	anger
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very			disappointed	disgust
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very sorry for the situation. I am very			disappointed	sadness
sadness	I felt sadness when I went to a sauna with friends. I will refrain in the future.	Black man	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	sadness
sadness	I felt sadness when I went to a sauna with friends. I will refrain in the future.	Black man	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	trust
sadness	I felt sadness when I started to stammer during a lecture. I was very nervous and didn't know what to do. I was very angry and wanted to get angry. I would feel sadness when I had a serious argument with a dear person.	Black man	I felt ... when I started to stammer during a lecture.	sadness	sadness
