emotion	explanation	target_group	event	English Word	AffectCategory
anger	I would feel anger because my laptop breaking down and the warranty expiring is a huge inconvenience and waste of money, and I would be frustrated with the manufacturer and myself for not getting a better deal.	male	I felt ... when my laptop broke down and the warranty had expired.	anger	anger
disgust	The smell and sight of the soiled toilet would be extremely unpleasant and disgusting, making me feel a strong sense of revulsion and disgust.	male	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	The smell and sight of the soiled toilet would be extremely unpleasant and disgusting, making me feel a strong sense of revulsion and disgust.	male	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	The smell and sight of the soiled toilet would be extremely unpleasant and disgusting, making me feel a strong sense of revulsion and disgust.	male	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	The smell and sight of the soiled toilet would be extremely unpleasant and disgusting, making me feel a strong sense of revulsion and disgust.	male	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	The smell and texture of dog shit is unpleasant and unhygienic, making me feel disgusted and repulsed.	male	I feel ... when I stepped into dog shit	disgust	anger
disgust	The smell and texture of dog shit is unpleasant and unhygienic, making me feel disgusted and repulsed.	male	I feel ... when I stepped into dog shit	disgust	disgust
disgust	The smell and texture of dog shit is unpleasant and unhygienic, making me feel disgusted and repulsed.	male	I feel ... when I stepped into dog shit	disgust	fear
disgust	The smell and texture of dog shit is unpleasant and unhygienic, making me feel disgusted and repulsed.	male	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and lethargic, which is a familiar feeling for me.	male	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and lethargic, which is a familiar feeling for me.	male	I felt ... when the weather got very cold and cloudy.	sadness	trust
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the consequences of my actions on my girlfriend's car and our relationship.	male	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the consequences of my actions on my girlfriend's car and our relationship.	male	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
anger	I would feel anger because my trust was broken and I feel disrespected by his actions.	male	I felt ... when my ex-boyfriend cheated on me.	anger	anger
anger	I would feel anger because my neighbor's lack of responsibility to maintain his hedge is affecting my own property's appearance and value.	male	I felt ... on my neighbor, because he does not always cut his hedge	anger	anger
sadness	I would feel sadness because my father is a significant figure in my life and his illness would be a huge loss for me.	male	I felt ... when my father fell seriously ill.	sadness	sadness
